"Time(s)","Model1_3.capacitor.v(V)"
0,0
4e-07,0.0394899287534392
8e-07,0.0783010356237487
1.2e-06,0.116355564903979
1.6e-06,0.153656639498135
2e-06,0.190217987426865
2.4e-06,0.226054675493245
2.8e-06,0.261180876103615
3.2e-06,0.295610720598491
3.6e-06,0.32935858216757
4e-06,0.362438663649973
4.4e-06,0.394863736863298
4.8e-06,0.426646721565235
5.2e-06,0.457800246865941
5.6e-06,0.488337073387241
6e-06,0.518270019253074
6.4e-06,0.547611420613052
6.8e-06,0.576373839421418
7.2e-06,0.604568956292555
7.6e-06,0.632204004267255
8e-06,0.659291599875406
8.4e-06,0.685841963924317
8.8e-06,0.711865579832464
9.2e-06,0.73737459127149
9.6e-06,0.762377975790642
1e-05,0.786885577109413
1.04e-05,0.810907021816235
1.08e-05,0.834452696837308
1.12e-05,0.857532003176617
1.16e-05,0.880154087963033
1.2e-05,0.902328102393061
1.24e-05,0.92406301714861
1.28e-05,0.945367530161489
1.32e-05,0.966250282784957
1.36e-05,0.986719691075092
1.4e-05,1.00678398881563
1.44e-05,1.02645122659006
1.48e-05,1.04572921601957
1.52e-05,1.06462564251067
1.56e-05,1.08314798370911
1.6e-05,1.1013035242726
1.64e-05,1.11909935654733
1.68e-05,1.13654286998205
1.72e-05,1.15364142048341
1.76e-05,1.17040149423736
1.8e-05,1.18682979306444
1.84e-05,1.20293289257634
1.88e-05,1.21871724659268
1.92e-05,1.23418919155776
1.96e-05,1.24935479175936
2e-05,1.26421979541573
2.04e-05,1.27879033174585
2.08e-05,1.29307218811597
2.12e-05,1.30707103645802
2.16e-05,1.32079243628115
2.2e-05,1.33424183768327
2.24e-05,1.34742464474681
2.28e-05,1.36034637878754
2.32e-05,1.37301206935157
2.36e-05,1.38542682495392
2.4e-05,1.39759566976276
2.44e-05,1.40952354725997
2.48e-05,1.42121532390167
2.52e-05,1.43267579277878
2.56e-05,1.44390936905931
2.6e-05,1.45491985510586
2.64e-05,1.46571224941568
2.68e-05,1.47629089107843
2.72e-05,1.48666003681992
2.76e-05,1.49682386304288
2.8e-05,1.50678646786773
2.84e-05,1.51655187317341
2.88e-05,1.52612402663809
2.92e-05,1.53550657665389
2.96e-05,1.54470326863349
3e-05,1.55371789839747
3.04e-05,1.56255408443194
3.08e-05,1.57121537463873
3.12e-05,1.57970524802184
3.16e-05,1.58802711637385
3.2e-05,1.59618432596239
3.24e-05,1.60418015921658
3.28e-05,1.61201766078465
3.32e-05,1.61969992513531
3.36e-05,1.62723011721764
3.4e-05,1.63461124215592
3.44e-05,1.64184624507828
3.48e-05,1.64893801256913
3.52e-05,1.65588937412155
3.56e-05,1.66270310358963
3.6e-05,1.66938192064093
3.64e-05,1.67592849220882
3.68e-05,1.68234541034837
3.72e-05,1.6886352268779
3.76e-05,1.69480047264155
3.8e-05,1.70084361323118
3.84e-05,1.70676706822425
3.88e-05,1.71257321261036
3.92e-05,1.71826437821794
3.96e-05,1.72384285514085
4e-05,1.72931089316498
4.04e-05,1.73467070319494
4.08e-05,1.73992445868062
4.12e-05,1.74507398352241
4.16e-05,1.75012122419926
4.2e-05,1.75506843508064
4.24e-05,1.75991760054365
4.28e-05,1.76467066920177
4.32e-05,1.7693295550918
4.36e-05,1.77389613886089
4.4e-05,1.7783722689535
4.44e-05,1.78275976279836
4.48e-05,1.78706040799546
4.52e-05,1.79127596350303
4.56e-05,1.79540816082452
4.6e-05,1.79945870519556
4.64e-05,1.80342927677097
4.68e-05,1.80732077175554
4.72e-05,1.81113457350066
4.76e-05,1.8148727655068
4.8e-05,1.81853685361572
4.84e-05,1.82212831701817
4.88e-05,1.82564860915398
4.92e-05,1.82909915861212
4.96e-05,1.83248137003077
5e-05,1.83579662499739
5.04e-05,1.83904628294883
5.08e-05,1.84223168207137
5.12e-05,1.8453541402008
5.16e-05,1.8484149557225
5.2e-05,1.85141540847152
5.24e-05,1.85435614699705
5.28e-05,1.8572379564477
5.32e-05,1.8600626534781
5.36e-05,1.86283138073263
5.4e-05,1.86554526101429
5.44e-05,1.86820539798174
5.48e-05,1.87081287684636
5.52e-05,1.8733687650692
5.56e-05,1.87587411305809
5.6e-05,1.87832995486462
5.64e-05,1.88073730888118
5.68e-05,1.88309717853799
5.72e-05,1.88541055300013
5.76e-05,1.88767840786458
5.8e-05,1.88990170585719
5.84e-05,1.89208017248607
5.88e-05,1.8942151589081
5.92e-05,1.89630786750635
5.96e-05,1.89835914253514
6e-05,1.9003698133387
6.04e-05,1.90234069486861
6.08e-05,1.90427258820118
6.12e-05,1.90616628105492
6.16e-05,1.90802254830791
6.2e-05,1.90984215251524
6.24e-05,1.91162584442647
6.28e-05,1.91337436350297
6.32e-05,1.91508843843541
6.36e-05,1.91676878766115
6.4e-05,1.91841611988166
6.44e-05,1.92003058525869
6.48e-05,1.92161251676252
6.52e-05,1.92316312148891
6.56e-05,1.92468302319029
6.6e-05,1.92617283477121
6.64e-05,1.92763315868999
6.68e-05,1.9290645873603
6.72e-05,1.93046770355285
6.76e-05,1.93184308079693
6.8e-05,1.93319128378211
6.84e-05,1.93451286875981
6.88e-05,1.93580838394494
6.92e-05,1.93707836991753
6.96e-05,1.93832336002436
7e-05,1.93954388078056
7.04e-05,1.94074045227124
7.08e-05,1.94191298058976
7.12e-05,1.94306180829828
7.16e-05,1.9441878656923
7.2e-05,1.94529160664196
7.24e-05,1.94637347750068
7.28e-05,1.94743391741335
7.32e-05,1.94847335862459
7.36e-05,1.94949222678706
7.4e-05,1.95049094126962
7.44e-05,1.95146991546567
7.48e-05,1.95242955710133
7.52e-05,1.95337026854376
7.56e-05,1.95429244710934
7.6e-05,1.95519648537199
7.64e-05,1.95608277147138
7.68e-05,1.9569516894212
7.72e-05,1.95780361941739
7.76e-05,1.95863798986545
7.8e-05,1.95945557272085
7.84e-05,1.96025693806247
7.88e-05,1.96104241140342
7.92e-05,1.96181231317381
7.96e-05,1.96256695894839
8e-05,1.96330665967414
8.04e-05,1.96403172189781
8.08e-05,1.96474244799357
8.12e-05,1.96543913639058
8.16e-05,1.96612208180057
8.2e-05,1.96679157544544
8.24e-05,1.96744790528483
8.28e-05,1.96809135624375
8.32e-05,1.96872221044015
8.36e-05,1.96934074741249
8.4e-05,1.96994724434736
8.44e-05,1.97054173315363
8.48e-05,1.97112363107124
8.52e-05,1.971693990076
8.56e-05,1.97225304216036
8.6e-05,1.97280101564763
8.64e-05,1.97333813535083
8.68e-05,1.97386462273165
8.72e-05,1.97438069605934
8.76e-05,1.97488657056958
8.8e-05,1.97538245862344
8.84e-05,1.97586856986625
8.88e-05,1.97634511138651
8.92e-05,1.9768122878748
8.96e-05,1.97727030178268
9e-05,1.97771935348158
9.04e-05,1.97815964142175
9.08e-05,1.97859136229111
9.12e-05,1.97901471117419
9.16e-05,1.97942988171104
9.2e-05,1.97983616782919
9.24e-05,1.98023425288986
9.28e-05,1.98062445515066
9.32e-05,1.98100693322608
9.36e-05,1.9813818432171
9.4e-05,1.98174933882107
9.44e-05,1.98210957144147
9.48e-05,1.98246269029776
9.52e-05,1.98280884253518
9.56e-05,1.98314817333456
9.6e-05,1.98348082602217
9.64e-05,1.98380694217947
9.68e-05,1.98412666175301
9.72e-05,1.98444012316417
9.76e-05,1.98474746341901
9.8e-05,1.98504881821812
9.84e-05,1.98534432206634
9.88e-05,1.98563410838268
9.92e-05,1.98591830961007
9.96e-05,1.98619652206858
0.0001,1.98646897615438
0.0001004,1.98673603556018
0.0001008,1.98699780826062
0.0001012,1.98725440054075
0.0001016,1.98750591707382
0.000102,1.98775246099905
0.0001024,1.98799413399937
0.0001028,1.98823103637922
0.0001032,1.98846326714232
0.0001036,1.98869092406943
0.000104,1.98891410379613
0.0001044,1.98913290189058
0.0001048,1.9893474129313
0.0001052,1.98955773058494
0.0001056,1.98976394768407
0.000106,1.98996615630489
0.0001064,1.9901644478451
0.0001068,1.99035891310156
0.0001072,1.99054964234815
0.0001076,1.99073637399482
0.000108,1.99091911657526
0.0001084,1.99109823360688
0.0001088,1.9912737977543
0.0001092,1.991445880635
0.0001096,1.99161455287477
0.00011,1.99177988416329
0.0001104,1.99194194330956
0.0001108,1.99210079829745
0.0001112,1.99225651634117
0.0001116,1.99240916394081
0.000112,1.99255880693782
0.0001124,1.9927055105705
0.0001128,1.99284933952953
0.0001132,1.99299035801345
0.0001136,1.9931286297842
0.000114,1.99326421822256
0.0001144,1.99339718638371
0.0001148,1.9935275970527
0.0001152,1.99365551279999
0.0001156,1.99378099603689
0.000116,1.99390393619824
0.0001164,1.99402401971451
0.0001168,1.99414171598606
0.0001172,1.99425707328342
0.0001176,1.99437013923873
0.000118,1.99448096088344
0.0001184,1.99458958468613
0.0001188,1.99469605659026
0.0001192,1.994800422052
0.0001196,1.99490272607792
0.00012,1.99500301326284
0.0001204,1.9951013278276
0.0001208,1.9951977136568
0.0001212,1.9952922143366
0.0001216,1.99538487319252
0.000122,1.99547573332716
0.0001224,1.99556483765803
0.0001228,1.99565222895532
0.0001232,1.99573794987965
0.0001236,1.99582204301987
0.000124,1.99590455093082
0.0001244,1.99598551617115
0.0001248,1.99606498134103
0.0001252,1.99614248054628
0.0001256,1.99621832361974
0.000126,1.99629266145988
0.0001264,1.99636552488637
0.0001268,1.99643694432816
0.0001272,1.99650694984759
0.0001276,1.99657557116451
0.000128,1.99664283768036
0.0001284,1.99670877850228
0.0001288,1.9967734224672
0.0001292,1.99683679816595
0.0001296,1.99689893396737
0.00013,1.99695985804238
0.0001304,1.99701959838812
0.0001308,1.997078182852
0.0001312,1.99713563915587
0.0001316,1.99719199492005
0.000132,1.99724727768746
0.0001324,1.99730151494774
0.0001328,1.99735473416132
0.0001332,1.99740696278354
0.0001336,1.99745822828872
0.000134,1.99750855819432
0.0001344,1.99755793773475
0.0001348,1.9976059390937
0.0001352,1.99765299113417
0.0001356,1.99769911307028
0.000136,1.99774432385435
0.0001364,1.99778864219201
0.0001368,1.99783208655718
0.0001372,1.99787467520723
0.0001376,1.99791642619794
0.000138,1.99795735739864
0.0001384,1.99799748650725
0.0001388,1.99803683106531
0.0001392,1.9980754084731
0.0001396,1.99811323600465
0.00014,1.99815033082283
0.0001404,1.99818670999441
0.0001408,1.9982223905051
0.0001412,1.99825738927464
0.0001416,1.99829172317186
0.000142,1.99832540902971
0.0001424,1.99835846366038
0.0001428,1.9983909038703
0.0001432,1.99842274647523
0.0001436,1.99845400831534
0.000144,1.99848470627023
0.0001444,1.99851483203243
0.0001448,1.99854406499545
0.0001452,1.99857271912017
0.0001456,1.99860080595441
0.000146,1.99862833689939
0.0001464,1.9986553232196
0.0001468,1.99868177605249
0.0001472,1.99870770641834
0.0001476,1.99873312522997
0.000148,1.9987580433026
0.0001484,1.99878247136361
0.0001488,1.99880642006229
0.0001492,1.9988298999797
0.0001496,1.99885292163839
0.00015,1.99887549551225
0.0001504,1.99889763203623
0.0001508,1.99891934161618
0.0001512,1.99894063463863
0.0001516,1.99896152148056
0.000152,1.99898201251919
0.0001524,1.99900211814179
0.0001528,1.99902184875544
0.0001532,1.99904121479683
0.0001536,1.99906022674206
0.000154,1.99907889511641
0.0001544,1.99909723050413
0.0001548,1.99911524355822
0.0001552,1.99913277595425
0.0001556,1.9991498195172
0.000156,1.99916651778291
0.0001564,1.99918287736792
0.0001568,1.99919890481518
0.0001572,1.99921460660022
0.0001576,1.99922998913728
0.000158,1.99924505878552
0.0001584,1.99925982185517
0.0001588,1.99927428461364
0.0001592,1.99928845329175
0.0001596,1.99930233408987
0.00016,1.99931593318405
0.0001604,1.99932925673224
0.0001608,1.99934231088038
0.0001612,1.99935510176862
0.0001616,1.99936763553748
0.000162,1.99937991833395
0.0001624,1.99939195631773
0.0001628,1.99940375566735
0.0001632,1.99941532258631
0.0001636,1.99942666330932
0.000164,1.99943778410835
0.0001644,1.99944869129892
0.0001648,1.99945939124613
0.0001652,1.99946989037092
0.0001656,1.9994801951562
0.000166,1.999490312153
0.0001664,1.99950021577431
0.0001668,1.99950975572075
0.0001672,1.99951909483897
0.0001676,1.99952823750001
